epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1584.1,0.60655,0.73326,1.0485,0.94615,1,0.995,0.79633,0.81545,0.9805,1.07103,0.000198206,0.000198206,0.000198206
91,1605.48,0.4681,0.84426,0.96252,0.94615,1,0.995,0.79633,0.81545,0.9805,1.07103,0.000181703,0.000181703,0.000181703
92,1624.58,0.56928,0.96955,1.09683,0.9476,1,0.995,0.79633,0.8074,0.99269,1.06429,0.0001652,0.0001652,0.0001652
93,1641.18,0.568,0.87184,0.99744,0.9476,1,0.995,0.79633,0.8074,0.99269,1.06429,0.000148696,0.000148696,0.000148696
94,1656.07,0.52618,0.86365,1.01578,0.95501,1,0.995,0.79633,0.83335,1.0249,1.08714,0.000132193,0.000132193,0.000132193
95,1670.79,0.53232,0.84942,0.98741,0.95501,1,0.995,0.79633,0.83335,1.0249,1.08714,0.00011569,0.00011569,0.00011569
96,1686.68,0.68589,0.92224,1.11487,0.96054,1,0.995,0.79086,0.87144,1.03621,1.12304,9.91865e-05,9.91865e-05,9.91865e-05
97,1701.66,0.51047,0.78479,0.98213,0.96054,1,0.995,0.79086,0.87144,1.03621,1.12304,8.26832e-05,8.26832e-05,8.26832e-05
98,1717.35,0.50677,0.84192,0.97149,0.96356,1,0.995,0.77439,0.90676,1.05416,1.16462,6.61799e-05,6.61799e-05,6.61799e-05
99,1733.21,0.48838,0.81634,0.9901,0.96356,1,0.995,0.77439,0.90676,1.05416,1.16462,4.96766e-05,4.96766e-05,4.96766e-05
100,1748.51,0.51663,0.77997,0.99707,0.96354,1,0.995,0.77439,0.929,1.06379,1.19406,3.31733e-05,3.31733e-05,3.31733e-05
